,term,TF-IDF
138,bernaman,0.24942215022496134
560,ken,0.24942215022496134
572,ketawa,0.24942215022496134
435,hotel,0.24933488238513746
983,politik,0.24676138601985992
640,landas,0.24493117199310838
592,kondom,0.24493117199310838
119,bayi,0.24493117199310838
1257,usia,0.24493117199310838
750,men,0.24493117199310838
783,modal,0.24493117199310838
59,antisipasi,0.2443518540930274
170,bocil,0.2443518540930274
885,now,0.2443518540930274
772,miris,0.2443518540930274
762,meski,0.2443518540930274
466,isteri,0.24423090789558305
1011,rampok,0.24411652444511744
395,haduhh,0.24411652444511744
182,brpa,0.24411652444511744
958,permendikbudristekdikti,0.24282823025805458
1152,syar,0.24282823025805458
82,at,0.24282823025805458
650,lawan,0.24282823025805458
525,kalu,0.2419923765286054
823,nanggulangin,0.2419923765286054
811,musyawarah,0.24126681289042462
135,berani,0.24002105422042352
512,kader,0.23884100759549903
825,napsu,0.23884100759549903
691,maak,0.23884100759549903
1151,syahwat,0.23884100759549903
960,perut,0.23884100759549903
934,pdi,0.23884100759549903
692,macem,0.23588331863592704
680,lollipop,0.23471878951034916
696,mahaciwi,0.23471878951034916
367,giur,0.23471878951034916
913,paham,0.23227485858330355
478,jajah,0.23227485858330355
124,bejad,0.2321648898923105
569,kes,0.2321648898923105
757,mental,0.2321648898923105
158,bismillahirrahmanirrahim,0.23157640102012217
83,atau,0.23157640102012217
635,laksana,0.23157640102012217
1157,taat,0.23157640102012217
574,khan,0.23150157099395186
1029,rim,0.23150157099395186
717,mankrak,0.23150157099395186
81,asyiik,0.23150157099395186
160,bkn,0.23150157099395186
168,bo,0.23150157099395186
723,markotop,0.23150157099395186
1211,topp,0.23150157099395186
190,budaya,0.22979701678414488
316,fasal,0.22979701678414488
406,hapus,0.22979701678414488
684,lu,0.2275531355288025
483,jaman,0.2275531355288025
159,bisnis,0.22733398434018737
123,beda,0.22535586749502
800,mulut,0.2242761789309668
1124,somplakk,0.2242761789309668
52,ang,0.2242761789309668
328,gaduhh,0.2242761789309668
44,ana,0.2242761789309668
388,ha,0.2242761789309668
552,keladi,0.2242761789309668
413,hassan,0.2242761789309668
534,kau,0.2242761789309668
519,kal,0.2242761789309668
116,bawah,0.22242114909642993
204,buta,0.22242114909642993
340,gawat,0.22204005468022098
53,anggap,0.22204005468022098
528,karenahukum,0.22204005468022098
631,lacur,0.22204005468022098
250,daruat,0.22204005468022098
542,ke,0.22204005468022098
453,ingat,0.22204005468022098
1185,ternak,0.22204005468022098
22,akhlak,0.21681079081220683
624,kuliah,0.21681079081220683
407,haram,0.21681079081220683
465,islami,0.21681079081220683
20,akherat,0.21681079081220683
30,alam,0.2156559702081993
997,provokator,0.21115256807917765
581,klas,0.21115256807917765
3,acara,0.21115256807917765
172,bohong,0.21115256807917765
287,dtg,0.20794049458732397
1288,wlaupun,0.20794049458732397
64,apasaja,0.20794049458732397
828,narsum,0.20794049458732397
915,pakar,0.20794049458732397
1237,uang,0.2070717201305641
448,iman,0.20525635996140604
841,ngajar,0.20525635996140604
1084,sen,0.20525635996140604
11,ahklak,0.20525635996140604
853,ngedidik,0.20525635996140604
531,kasi,0.20525635996140604
122,becus,0.20525635996140604
809,musnah,0.20525635996140604
93,babad,0.20525635996140604
21,akhir,0.20295579819997744
88,ayat,0.20295579819997744
32,alat,0.20295579819997744
956,permendikbudnya,0.20295579819997744
939,pelintir,0.20295579819997744
1073,selamat,0.20190546721619804
813,muter,0.20185931246320613
544,kebelinger,0.20185931246320613
812,mutar,0.20185931246320613
1090,sesat,0.20185931246320613
590,komen,0.20185931246320613
507,jumpa,0.20185931246320613
440,hut,0.20185931246320613
1261,utan,0.20185931246320613
19,akar,0.2000811824813642
868,ngomong,0.19878709288757018
511,kadang,0.19878709288757018
199,bunuh,0.19878709288757018
744,melwan,0.19878709288757018
58,anti,0.19878709288757018
1050,sanggup,0.19878709288757018
1099,silah,0.1959446633007786
1070,sekolah,0.19132997182358255
970,pinter,0.18798187415923337
115,bawa,0.1851208637524829
1114,sllu,0.1835021625138343
1158,tabrak,0.17574508613223483
736,mayoritas,0.17574508613223483
1190,tetep,0.17574508613223483
880,non,0.17574508613223483
10,ahirnya,0.17574508613223483
1245,umat,0.17574508613223483
945,peraturanya,0.17574508613223483
405,hantar,0.17574508613223483
658,leluasa,0.17574508613223483
17,ajaranya,0.17574508613223483
1222,tubruk,0.17478105872186175
814,mutu,0.17478105872186175
1015,rebut,0.17478105872186175
484,jasa,0.17478105872186175
173,bokbrok,0.17478105872186175
