diapa-apai;diapa2in
ya;yaak
loh;lhoo
minta;mnta
dong;donx
kayak;kyk
begitu;gthu
indak;nda
mau;maauuu
pacar;pacarrr
idaman;idamann
natural;naturalllll
banyak;bnyak
beruntung;berntung
mereka;merka
jalan-jalan;jln2
romantis;romntis
selamat;slamat
ulang;ulan
tahun;th
mungkin;mngkin
kalau;klau
dikasih;diksi
begini;bgini
sip;sipp
masih;masi
tahun;taun
juga;jugak
menunggu;nungguin
mengeluarkan;ngeluarin
kecil;keciill
juga;ughaa
"tante-tante;tante"""
tahun;thn
merasa;ngerasa
gue;gw
banget;banged
habis;abeees
kapan-kapan;kapan2
mengadakan;adain
bisa;bsa
enggak;gk
bosan-bosan;bosen2
sempurna;sempurnaaaaa
kan;kaan
kece-kece;kece2
badai;badaaiii
benaran;beneraan
cantik;cantiiik
banget;bgtt
kuat;kuatttt
cantik;cantiiiiiiik
cantiknya;cantiknyaaa
pengin;pgn
baik-baik;bae2
lagi;lg
cantik;cantikkk
banget;bgd
mbak;mb
cantik;catiiiiik
banget;bangeet
subhanallah;subahanallah
cantik;cantikkk
banget;bgt
jaman-jamannya;jaman2nya
mendapati;dapetin
padat;padet
enggak;ga
buktikan;buktiin
kamu;km
yang;yg
cantik;cantiq
aku;ak
kamu;km
semua;smua
"pasien-pasiennya;pasien""nya"
mengantri;ngantri
loh;lohh
banget;bgt
mungkin;mngkin
untuk;utk
mengasih;ngasih
keren;keeeerrrreeeennnnnnnnn
wow;woow
choker-choker;choker2
sekarang;skarang
sekarang;skrang
kakak;kaka
loh;lohh
gara-gara;gara2
membuktikan;buktiin
banget;bangettttt
hadir;hadirrr
hadir;hadirr
jelas;jelashh
sekali-kali;sekali2
mbak;mbaaa
teman;temen
keren;kerenn
hadir;hadirrr
mengomong;ngomong
hidup;hidupppp
menyebalkan;nyebelin
tapi;tp
dilihatnya;diliatnya
enggak;ga
habis-habis;abis2
enggak apa-apa;gpp
parah-parah;para2
banget;bangeeet
allah;allahhhhhhh
gemasnya;gemesnya
hilang-hilang;ilang2
masalah;mslh
kami;kmi
menghilangkan;ngilangin
tubuh;tbuh
hitungan;itungan
kelihatan;keliatan
ledeki;ledekin
teman-teman;tmn2
diputuskan;diputusin
gara-gara;gara2
kamu;km
gara-gara;gara2
repot-repot;repot2
oles-oles;oles2
cukup;ckup
dapatkan;dptkan
artis-artis;artis2
benar-benar;bener2
menyesal;nyesel
ayo;ayooo
menyarankan;saranin
kali;kalii
saja;ajaa
meninggikan;ninggiin
ledeki;ledekin
teman-teman;tmn2
banget;baget
dari;dri
banget;bngt
kalau;kl
lihat;lht
minta;mnta
kira-kira;kira2
langsung;lgsg
mungkin;mngkin
enggak;ngk
ah;ahh
pas-pasan;pas2an
membalas;balesin
enggak usah;gausah
kayak;kyk
suka;sukaaa
lucunya;lutuna
siapa;ciapa
gemas;gemesss
duh;duhh
terharu;terharuuu
ih;ihh
sumpah;sumpahh
alami;alamii
sampai;sampek
sekarang;ckrng
menggemaskan;ngegemesin
imut;imoet
banget;bgt
imut-imut;imut2
begitu;gtu
jaga;jagain
ya;yahbh
masih;msih
macam-macam;macem2
neko-neko;neko2
melihat;ngeliat
seketika;sktika
dari;dr
tadi;td
lucu;lutu
yang;yg
ya;yaa
ya;yha
wow;wowwww
mas;massss
kesini;kesiniii
banget;bnget
"keren-keren;keren"""
"jalan-jalannya;jalan""nya"
masyaallah;masyaallahhh
keren;kerennn
kesini;ksni
bego;begok
bukan;bkan
juga;jgk
enggak ada;gda
tempat;tmpt
maksud;mksd
aku;aqu
bawa;bawak
jadi;jdi
itu;it
bukan;bkan
nanti;nti
pagi;pgi
ya;yahh
keren;keeeeeren
banget;bnget
bagus;baguusss
mana;mna
lihat;liat
lagi;lg
banget;bnget
tahan;nahannnn
lucu;lucuu
banget;bagaatt
gayanya;gayannxa
keren;kereeeen
sudah;uda
kekeh;ngekeh
bang;bg
kalian;xlian
bertiga;b3
banget;bnget
lagi;lg
ih;ihhh
menyebalkan;nyebelin
banget;bnget
lucu;lcu
pahit;pait
pahit;pait
pahit;pait
koplak;koplakkk
keras;kerass
ya;yachhh
gila;gokil
banget;bgt
kamu;kmu
yang;yg
melihat;ngelihat
pengin;pngn
melawak;ngelawak
ih;iiihhhhh
gila;gokil
menyolot;nyolotinnnn
berat;beratttttttt
lucu;lucuu
cantik;cantiikkkk
kak;kaa
hijab;hijaabbb
sekali;sekalii
menyemangati;smnagatin
kakak;kk
pakai;pakek
kenapa;kanapa
enggak;ngk
pakai;pakek
cantik;cans
pakai;pke
saja;aja
subhanallah;subahanallah
banget;banhet
ah;ahhhh
banget;bgttttttt
macam;mcm
bilang;blng
jangan;jgn
mengasih;mngasi
kembang;kmbang
pagi;pg
tapi;tp
pula;pulak
ini;nie
indak;nda
pula;pla
kah;kh
tapi;tpi
cuma;cm
kau;kw
macam;mcm
kau;kw
pula;pla
yang;yg
berlakon;blakon
saya;sy
nampak;nmpk
sama;sma
lucu;lucuu
lucu;lcu
banget;bngtzt
lucu;lucukkkkk
ingat;inget
sebelah;sbelah
baik;baek
serius;ciusss
paling;palinf
favorit;fav
indak;ndak
mak;maak
mengakak;ngakaaaakkk
sayang;yank
banget;bangett
gila;gokill
kocak;kocakkkkkk
mengekek;ngekek
jangan;jgn
sekarang;skrg
sudah;udah
enggak;gak
cape;capee
memegang;pegangin
menyandar;nyender
benar;bener
memanjakan;manjain
banget;bgt
meleot;peleotin
bang;bng
kok;ko
enggak ada;gda
ya;yahh
